id,name,year,court,category,holding,facts_one_liner,cluster,outline_section,first_letter,citation_hint
marbury,Marbury v. Madison,1803,SCOTUS,just,"It is emphatically the province of the judicial department to say what the law is; statute conflicting with the Constitution is void.","After-midnight appointee never received his commission as Justice of the Peace and sought mandamus.",judicial-review,Nature of the Judiciary,M,"Chief Justice Marshall opinion."
correspondence,Correspondence of the Justices,1793,SCOTUS,just,"Federal courts may not issue advisory opinions to the political branches.","Washington and Jefferson asked Justices for legal opinions on neutrality and treaties amid French hostilities.",advisory-opinions,Advisory Opinions,C,"Letter, not a case."
hayburn,Hayburn's Case,1792,Circuit,just,"Federal judges may not perform non-judicial functions subject to executive revision.","Pension claims statute required circuit judges to make recommendations subject to Secretary of War review.",advisory-opinions,Advisory Opinions,H,"1 U.S. (2 Dall.) 409."
frothingham,Frothingham v. Mellon,1923,SCOTUS,just,"Taxpayer's interest in federal expenditure is too remote and indeterminate to support standing.","Massachusetts taxpayer challenged Maternity Act's federal grants to states.",standing,Injury in Fact,F,"262 U.S. 447."
flast,Flast v. Cohen,1968,SCOTUS,just,"Taxpayers have standing to challenge spending under the Establishment Clause if a nexus exists between status and constitutional limit.","Taxpayers challenged ESEA funds going to religious schools.",standing,Injury in Fact,F,"392 U.S. 83."
allen-wright,Allen v. Wright,1984,SCOTUS,just,"Injury must be fairly traceable to defendant's conduct; chain through third-party private school choices breaks traceability.","Parents alleged IRS failed to deny tax exemptions to racially discriminatory private schools.",standing,Traceability,A,"468 U.S. 737."
lujan,Lujan v. Defenders of Wildlife,1992,SCOTUS,just,"Standing requires concrete and imminent injury; Congress cannot manufacture standing without injury.","Environmentalists challenged Interior's restriction of Endangered Species Act consultation to U.S. activities.",standing,Injury in Fact,L,"504 U.S. 555 (Scalia)."
clapper,Clapper v. Amnesty International,2013,SCOTUS,just,"Injury must be certainly impending; chain of speculation about government surveillance insufficient.","Lawyers challenged FISA Amendments Act before any surveillance.",standing,Injury in Fact,C,"568 U.S. 398."
california-texas,California v. Texas,2021,SCOTUS,just,"No standing to challenge a statute imposing no penalty.","States and individuals challenged ACA individual mandate after Congress zeroed the penalty.",standing,Injury in Fact,C,"593 U.S. ___."
transunion,TransUnion v. Ramirez,2021,SCOTUS,just,"Concrete harm requires close historical or common-law analog; only those whose reports were transmitted suffered defamation analog.","1853 class members had wrong terrorist-list flags; only some had reports sent to third parties.",standing,Injury in Fact,T,"594 U.S. ___."
defunis,DeFunis v. Odegaard,1974,SCOTUS,just,"Mootness when no live controversy remains.","Law student near graduation had been admitted via lower court order.",mootness,Mootness,D,"416 U.S. 312."
laidlaw,Friends of the Earth v. Laidlaw,2000,SCOTUS,just,"Voluntary cessation moots only if absolutely clear conduct will not recur.","Polluter ceased violations during litigation but could resume.",mootness,Mootness,F,"528 U.S. 167."
city-of-erie,City of Erie v. Pap's A.M.,2000,SCOTUS,just,"Case not moot when injunction's preclusive effects persist.","Nude dancing club closed during pendency; injunction still bound the city.",mootness,Mootness,C,"529 U.S. 277."
abbott-labs,Abbott Laboratories v. Gardner,1967,SCOTUS,just,"Pre-enforcement challenge ripe when issue is purely legal and hardship from delay is significant.","Drug manufacturers challenged FDA labeling rule before enforcement.",ripeness,Ripeness,A,"387 U.S. 136."
upw-mitchell,United Public Workers v. Mitchell,1947,SCOTUS,just,"Generalized challenge unripe absent specific application.","Federal workers sought to enjoin Hatch Act before any violation.",ripeness,Ripeness,U,"330 U.S. 75."
sba-driehaus,Susan B. Anthony List v. Driehaus,2014,SCOTUS,just,"Pre-enforcement challenge ripe with credible threat of enforcement plus chilling speech.","Group challenged Ohio false-statement statute after past complaint.",ripeness,Ripeness,S,"573 U.S. 149."
linda-rs,Linda R.S. v. Richard D.,1973,SCOTUS,just,"No standing to compel criminal prosecution; injury not redressable by jailing the alleged father.","Mother sued for selective enforcement of nonsupport statute.",standing,Redressability,L,"410 U.S. 614."
richardson,United States v. Richardson,1974,SCOTUS,just,"Taxpayer-citizen lacked standing to challenge CIA budget secrecy.","Plaintiff alleged CIA budget violated Statement and Account Clause.",standing,Generalized Grievance,R,"418 U.S. 166."
mass-epa,Massachusetts v. EPA,2007,SCOTUS,just,"States get special solicitude in standing analysis.","States sued EPA for refusing to regulate GHG.",standing,Injury in Fact,M,"549 U.S. 497."
murthy,Murthy v. Missouri,2024,SCOTUS,just,"Standing must be traced to specific government conduct, not general atmosphere.","States challenged government communication with social media platforms.",standing,Traceability,M,"602 U.S. ___."
ahm,Alliance for Hippocratic Medicine v. FDA,2024,SCOTUS,just,"Doctors lack standing where injury depends on speculative chain.","Doctors challenged FDA mifepristone approval.",standing,Traceability,A,"602 U.S. ___."
brackeen,Haaland v. Brackeen,2023,SCOTUS,just,"Relief must come from court's judgment, not from its opinion.","ICWA challenge where courts could not grant relief running against any defendant.",standing,Redressability,H,"599 U.S. ___."
