id,category,difficulty,stem,opt_a,opt_b,opt_c,opt_d,correct,case,rule_id,prong,explanation,tags,daily_eligible
just-001,just,2,Why did Chief Justice Jay decline to answer Washington's neutrality questions in 1793?,Congress had not authorized,Article III bars advisory opinions,The Justices were on circuit,The Suspension Clause forbade it,b,correspondence,,advisory-opinion,Jay's letter cited separation of powers and the case-or-controversy requirement; Article II § 2 expressly authorized the President to seek opinions from department heads.,advisory;justiciability,false
just-002,just,1,Which is permitted under the ban on advisory opinions?,Pre-clearing legislation with the courts,Issuing binding rulings on hypothetical disputes,Federal judges writing books on legal topics,Giving confidential advice to the President,c,correspondence,,advisory-opinion,Extrajudicial speech and writing are fine; only judicial advice outside a case is barred.,advisory;justiciability,false
just-003,just,2,Federal courts may issue declaratory judgments because they are:,A waiver of Article III,Authorized by the Supremacy Clause,Forms of advisory opinions,Procedural devices that still require a case or controversy,d,,,advisory-opinion,The Declaratory Judgment Act is constitutional only because it requires an underlying case or controversy.,advisory;declaratory,false
just-004,just,2,Hayburn's Case stands for the proposition that:,Federal courts may issue advisory opinions in wartime,State courts must enforce federal pension claims,Federal judges may not perform non-judicial functions subject to executive revision,Congress may strip Supreme Court appellate jurisdiction,c,hayburn,,advisory-opinion,Circuit judges refused to act as adjuncts to the Secretary of War on pension claims.,advisory;justiciability,false
just-005,just,3,A 'functional requisite' of adjudication identified by Fallon includes:,All of the above,Adversary parties,Concrete dispute,Conclusive effect of the judgment,a,,,advisory-opinion,Fallon listed a non-exhaustive set of functional requisites including these three.,advisory;theory,false
just-006,just,3,Legal Process School's 'institutional settlement' principle holds that:,Judges should always defer to Congress,Standing rules are prudential only,The body designated to decide must be obeyed even when wrong,States are sovereign in all matters,c,,,theory,Hart and Sacks: institutional settlement requires accepting the designated decisionmaker's judgments.,theory;legal-process,false
just-007,just,2,The 'Dispute Resolution' model of federal judicial power emphasizes:,Courts as enforcers of public rights generally,Advisory opinions,Courts as resolvers of concrete private disputes,Universal injunctions,c,marbury,,theory,"Marbury-style: courts intervene only to resolve concrete disputes, not to police the law generally.",theory;dispute-resolution,false
just-008,just,2,The 'Law Declaration' model of federal judicial power emphasizes:,Restricting standing to common-law injuries,Courts' role in declaring and enforcing the rule of law,Vindicating individual rights only,Pre-enforcement review,b,,,theory,Public rights model: courts have a duty to declare and enforce the rule of law beyond private dispute resolution.,theory;law-declaration,false
just-009,just,3,Lujan v. Defenders of Wildlife held that environmental plaintiffs lacked standing because:,Redressability was satisfied,No imminent injury despite Congress's any-person provision,The agency was a proper defendant,Their injury was not concrete,b,lujan,standing-art3,injury-in-fact,No concrete plans to visit affected habitat made the injury speculative; Congress can't manufacture standing without injury.,standing;lujan,true
just-010,just,3,TransUnion v. Ramirez requires concrete harm to have:,Tangible monetary loss,Statutory recognition by Congress,Pleading specificity,A close historical or common-law analog,d,transunion,standing-injury,injury-in-fact,Spokeo/TransUnion line: Congress can elevate intangible harms to injury only if analogous to traditional injuries.,standing;transunion,true
just-011,just,3,California v. Texas (2021) found no standing because:,The ACA's individual mandate had a $0 penalty and imposed no enforced cost,The Tenth Amendment barred the suit,Severability mooted the case,States waived their interest,a,california-texas,,injury-in-fact,"With the penalty zeroed out, plaintiffs faced no concrete enforced injury from the unenforceable provision.",standing;aca,false
just-012,just,2,Frothingham v. Mellon held a federal taxpayer:,Lacks standing because share of the federal pie is too small and indeterminate,Has standing under the Establishment Clause,Has standing for any unconstitutional spending,Has standing only when challenging specific tax,a,frothingham,,injury-in-fact,The interest is shared with millions and the effect on future taxation too remote.,standing;taxpayer,false
just-013,just,3,Flast v. Cohen permits taxpayer standing when:,The plaintiff is also a parent,There is a nexus between status as taxpayer and a constitutional limit on Congress's spending power,The IRS is the defendant,The Establishment Clause is involved alone,b,flast,flast-test,injury-in-fact,Two-part nexus: (1) status to type of legislation; (2) status to specific constitutional limitation.,standing;taxpayer;flast,false
