question_id,pt,section_num,section_type,question_num,passage_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,skills
pt1_s1_q1,1,1,RC,1,pt1_s1_p1,Which one of the following best expresses the main idea of the passage?,Folk artists employed more principles of African oral tradition in their works than did Phillis Wheatley in her poetry.,"Although Phillis Wheatley had to overcome significant barriers in learning English, she mastered the literary conventions of eighteenth-century English as well as African aesthetic canons.",Phillis Wheatley’s poetry did not fulfill the potential inherent in her experience but did represent a significant accomplishment.,The evolution of a distinctive African American literary language can be traced from the creations of African American folk artists to the poetry of Phillis Wheatley.,Phillis Wheatley joined with African American folk artists in preserving the principles of the African oral tradition.,C,main_point
pt1_s1_q2,1,1,RC,2,pt1_s1_p1,"The approach to poetry taken by a modern-day Italian immigrant in America would be most analogous to Phillis Wheatley’s approach, as it is described in the passage, if the immigrant",translated Italian literary forms into the American idiom,combined Italian and American literary traditions into a new form of poetic expression,contributed to the development of a distinctive Italian American literary style,defined artistic expression in terms of eighteenth-century Italian poetic conventions,adopted the language and forms of modern American poetry,E,principle_parallel
pt1_s1_q3,1,1,RC,3,pt1_s1_p1,"According to the passage,African languages had a notable influence on",the religious music of colonists in New England,the folk art of colonists in New England,formal written English,American speech patterns,eighteenth-century aesthetic principles,D,detail_function
pt1_s1_q4,1,1,RC,4,pt1_s1_p1,"By a“closed system”of poetry (lines 34–35), the author most probably means poetry that",cannot be written by those who are not raised knowing its conventions,has little influence on the way language is actually spoken,substitutes its own conventions for the aesthetic principles of the past,does not admit the use of street language and casual talk,is ultimately rejected because its conventions leave little room for further development,D,inference
pt1_s1_q5,1,1,RC,5,pt1_s1_p1,"According to the passage, the standards of eighteenth-century English poetry permitted Wheatley to include which one of the following in her poetry?",generalized feelings,Americanized English,themes from folk art,casual talk,Black speech,A,detail_function
pt1_s1_q6,1,1,RC,6,pt1_s1_p1,"Which one of the following, if true, would most weaken the author’s argument concerning the role that Wheatley played in the evolution of an African American literary language?",Wheatley’s poetry was admired in England for its faithfulness to the conventions of neoclassical poetry.,Wheatley compiled a history in English of her family’s experiences in Africa and America.,The language barriers that Wheatley overcame were eventually transcended by all who were brought from Africa as slaves.,Several modern African American poets acknowledge the importance of Wheatley’s poetry to American literature.,Scholars trace themes and expressions in African American poetry back to the poetry of Wheatley.,E,strengthen_weaken
pt1_s1_q7,1,1,RC,7,pt1_s1_p1,It can be inferred that the author of the passage would most probably have praised Phillis Wheatley’s poetry more if it had,affected the manner in which slaves and freed Black people spoke English,defined African American artistic expression in terms of earlier works,adopted the standards of eighteenth-century English poetry,combined elements of the English literary tradition with those of the African oral tradition,focused on the barriers that written English literary forms presented to Black artists,D,inference
pt1_s1_q8,1,1,RC,8,pt1_s1_p1,Which one of the following most accurately characterizes the author’s attitude with respect to Phillis Wheatley’s literary accomplishments?,enthusiastic advocacy,qualified admiration,dispassionate impartiality,detached ambivalence,perfunctory dismissal,B,authors_voice
pt1_s1_q9,1,1,RC,9,pt1_s1_p2,Which one of the following best states the central idea of the passage?,Antithetical scientific disciplines can both stimulate and hinder one another’s research in complex ways.,Antithetical scientific disciplines often interact with one another in ways that can be highly useful.,"As disciplines such as cytology and biochemistry advance, their interaction necessarily leads to a synthesis of their approaches.",Cell research in the late nineteenth century was plagued by disagreements between cytologists and biochemists.,"In the late nineteenth century, cytologists and biochemists made many valuable discoveries that advanced scientific understanding of the cell.",B,main_point
pt1_s1_q10,1,1,RC,10,pt1_s1_p2,The passage states that in the late nineteenth century cytologists deduced the,maps of chromosomes,chemical nature of protoplasm,spatial relationship of molecules within the cell,role of enzymes in biological processes,sequence of the movement of chromosomes during cell division,E,detail_function
