id,category,score,reasons
imm-049,imm,-31,short distractor (21) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | overused pool distractor (18×) | overused pool distractor (20×) | thin stem | very thin stem | thin explanation
imm-006,imm,-15,short distractor (18) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (11×) | repeated pool distractor (13×) | thin stem | very thin stem | thin explanation | very thin explanation
scsr-013,scsr,-8,short distractor (18) | short distractor (18) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (13×) | thin stem | very thin stem | thin explanation
imm-058,imm,-8,short distractor (20) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (13×) | overused pool distractor (18×) | thin stem | thin explanation
xc-001,roa,-8,short distractor (15) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | overused pool distractor (20×) | repeated pool distractor (12×) | thin explanation | very thin explanation
roa-032,roa,-5,short distractor (15) | length-tell: correct > 2.6x shortest | repeated pool distractor (14×) | overused pool distractor (20×) | thin stem | very thin stem | thin explanation | very thin explanation
imm-035,imm,-5,short distractor (20) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (12×) | repeated pool distractor (13×) | thin stem | very thin stem | thin explanation
imm-046,imm,-3,overused pool distractor (20×) | overused pool distractor (18×) | overused pool distractor (18×) | thin stem | thin explanation | very thin explanation
roa-001,roa,0,short distractor (16) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (13×) | overused pool distractor (20×) | thin explanation
imm-007,imm,2,short distractor (15) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (17×) | overused pool distractor (18×) | thin stem
imm-025,imm,6,repeated pool distractor (12×) | overused pool distractor (18×) | overused pool distractor (20×) | thin stem | thin explanation | very thin explanation
erie-011,erie,7,short distractor (15) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (12×) | repeated pool distractor (16×) | thin stem | thin explanation
hab-010,hab,7,short distractor (18) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | repeated pool distractor (10×) | repeated pool distractor (16×) | thin stem | thin explanation
imm-052,imm,10,overused pool distractor (20×) | repeated pool distractor (13×) | overused pool distractor (18×) | thin stem | thin explanation | very thin explanation
just-045,just,11,short distractor (19) | short distractor (18) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest | thin stem | thin explanation
