id,name,category,elements,source_case,when_applied,common_distractors
standing-art3,Article III Standing,just,"Injury in fact;Traceability to defendant;Redressability by court action",lujan,Threshold question in any federal action,"Substantial federal interest;Adequate state remedy;Ripe controversy;Prudential standing"
standing-injury,Injury in Fact (TransUnion),just,"Concrete (close common-law analog);Particularized (affects plaintiff personally);Actual or imminent",transunion,Standing analysis after Spokeo/TransUnion,"Statutory violation alone;Generalized grievance;Procedural injury alone"
standing-prudential,Prudential Standing Limits,just,"No third-party rights;No generalized grievance;Within zone of interests",allen-wright,Court-created limits Congress can override,"Particularized harm;Article III injury;Redressable by court"
flast-test,Flast Two-Nexus Test,just,"Nexus between status and legislative enactment;Nexus between status and constitutional limit on spending",flast,Establishment Clause taxpayer standing,"General interest in lawful government;Concrete pocketbook injury;Direct appropriation"
ripeness-abbott,Ripeness (Abbott Labs),just,"Fitness of issues for judicial decision;Hardship to parties from withholding review",abbott-labs,Pre-enforcement challenges,"Imminent enforcement;Standing satisfied;No alternative remedy"
mootness,Mootness Exceptions,just,"Capable of repetition yet evading review;Voluntary cessation;Class action with named plaintiff change;Collateral consequences",laidlaw,When dispute appears resolved,"Prudential mootness;Article III limit;Generalized injury"
grable-fqj,Grable Embedded FQJ,fqj,"Necessarily raised;Actually disputed;Substantial to federal system;No disturbance of Congressional balance",grable,State-law claim with embedded federal question,"Federal preemption;Diversity present;Well-pleaded complaint"
mottley-wpc,Well-Pleaded Complaint Rule,fqj,"Federal question must appear in plaintiff's properly stated claim;Cannot rest on anticipated defense;Cannot rest on plaintiff's response to defense",mottley,Statutory FQJ under § 1331,"Holmes rule;Embedded question;Constitutional FQJ"
holmes-rule,Holmes Rule,fqj,"Federal law creates the cause of action;Sufficient (but not necessary) basis for FQJ",amwell,Default test for arising-under jurisdiction,"State law creates cause;Federal defense raised;Embedded question"
gibbs-supp,Gibbs Supplemental Test,fqj,"Common nucleus of operative fact;Claims plaintiff would ordinarily expect to try together;Substantial federal question",gibbs,Supplemental jurisdiction over state claims,"Compulsory counterclaim;Required joinder;Diversity present"
